member_casual,hour,ride_count
casual,0,4965
casual,1,3053
casual,2,1953
casual,3,1136
casual,4,774
casual,5,1365
casual,6,2611
casual,7,5023
casual,8,7446
casual,9,7508
casual,10,9306
casual,11,11929
casual,12,14934
casual,13,16045
casual,14,17248
casual,15,18881
casual,16,21816
casual,17,22856
casual,18,19653
casual,19,15297
casual,20,10814
casual,21,8681
casual,22,7346
casual,23,5206
member,0,3847
member,1,2301
member,2,1286
member,3,882
member,4,997
member,5,3552
member,6,10679
member,7,20686
member,8,27137
member,9,17871
member,10,16052
member,11,18216
member,12,21409
member,13,21647
member,14,22281
member,15,27369
member,16,37277
member,17,42459
member,18,33778
member,19,24248
member,20,17125
member,21,13320
member,22,9294
member,23,5803
